Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"stabilizers","stabilizing",1,11.00,"https://www.aliexpress.com/item/1005004229140548.html?spm=a2g0o.productlist.main.6.3e4b4e91M4QOD4&algo_pvid=52c0f35d-5f37-4dcc-980f-3d382011e670&pdp_ext_f=%7B%22order%22%3A%22103%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004229140548%7C_p_origin_prod%3A","aliexpress"
"keycaps","keycaps",1,16.50,"https://www.aliexpress.com/item/1005009426980407.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.11.e5e56b47W8lzpD&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=6ae83b90-ce64-454f-894f-8b7744045ac3&_t=gps-id%3ApcDetailTopMoreOtherSeller%2Cscm-url%3A1007.40050.354490.0%2Cpvid%3A6ae83b90-ce64-454f-894f-8b7744045ac3%2Ctpp_buckets%3A668%232846%238110%231995&pdp_ext_f=%7B%22order%22%3A%22510%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%2C%22fromPage%22%3A%22recommend%22%7D&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005009426980407%7C_p_origin_prod%3A","aliexpress"
"switches","cherry mx red (62 bc one spare)",70,26.50,"https://www.aliexpress.com/item/1005007039372956.html?spm=a2g0o.cart.0.0.bc85452cwC4OF7&mp=1","aliexpress"
"PCB","pcb",5,30.00,"","JLCPCB"
"kalih sockets","hotswap",61,3.00,"https://www.lcsc.com/product-detail/C41430893.html?spm=wm.gwc.xh.13.cbm___wm.mxq.ssl.gwc&lcsc_vid=T1lbU1RRQwVWUQcCQgcLA1UAEgBbAwBUFFheBFAFEVAxVlNRTlhWUVZTQlBXUjsOAxUeFF5JWBEPFBcWGBMaSQgFBAJABAsLWA%3D%3D","LCSC"
"2mb flash","storage",1,1.50,"https://www.lcsc.com/product-detail/C2986331.html?spm=wm.mxq.bom.8.xh___wm.bjg.btn.cre&lcsc_vid=T1lbU1RRQwVWUQcCQgcLA1UAEgBbAwBUFFheBFAFEVAxVlNRTlhWUVZTQlBXUjsOAxUeFF5JWBEPFBcWGBMaSQgFBAJABAsLWA%3D%3D","LCSC"
"PASSIVES","PASSIVING",1,8.50,"","LCSC"
"DIODES","NKEY ROLLOVER",61,4.00,"https://www.lcsc.com/product-detail/C81598.html?spm=wm.mxq.bom.14.xh___wm.bjg.btn.cre&lcsc_vid=T1lbU1RRQwVWUQcCQgcLA1UAEgBbAwBUFFheBFAFEVAxVlNRTlhWUVZTQlBXUjsOAxUeFF5JWBEPFBcWGBMaSQgFBAJABAsLWA%3D%3D","LCSC"
"XTAL","CLOCK",1,1.00,"https://www.lcsc.com/product-detail/C9002.html?spm=wm.mxq.bom.12.xh___wm.bjg.btn.cre&lcsc_vid=T1lbU1RRQwVWUQcCQgcLA1UAEgBbAwBUFFheBFAFEVAxVlNRTlhWUVZTQlBXUjsOAxUeFF5JWBEPFBcWGBMaSQgFBAJABAsLWA%3D%3D","LCSC"
"USBC","PORT",1,1.00,"https://www.lcsc.com/product-detail/C165948.html?spm=wm.mxq.bom.10.xh___wm.bjg.btn.cre&lcsc_vid=T1lbU1RRQwVWUQcCQgcLA1UAEgBbAwBUFFheBFAFEVAxVlNRTlhWUVZTQlBXUjsOAxUeFF5JWBEPFBcWGBMaSQgFBAJABAsLWA%3D%3D","LCSC"
"RP2040","MCU",1,1.00,"https://www.lcsc.com/product-detail/C2040.html?spm=wm.mxq.bom.8.xh___wm.bjg.btn.cre&lcsc_vid=T1lbU1RRQwVWUQcCQgcLA1UAEgBbAwBUFFheBFAFEVAxVlNRTlhWUVZTQlBXUjsOAxUeFF5JWBEPFBcWGBMaSQgFBAJABAsLWA%3D%3D","LCSC"
"RT9013-33GB","LDO",1,1.00,"https://www.lcsc.com/product-detail/C47773.html?spm=wm.mxq.bom.9.xh___wm.bjg.btn.cre&lcsc_vid=T1lbU1RRQwVWUQcCQgcLA1UAEgBbAwBUFFheBFAFEVAxVlNRTlhWUVZTQlBXUjsOAxUeFF5JWBEPFBcWGBMaSQgFBAJABAsLWA%3D%3D","LCSC"
