Comment,Designator,Footprint,LCSC,Quantity
100nF,"C10,C11,C13,C14,C17,C19,C4,C5,C6,C7,C8,C9",C_0402_1005Metric,C1525,12
10K,"R5,R7",R_0402_1005Metric,C25744,2
1K,R6,R_0402_1005Metric,C11702,1
1uF,"C1,C2",C_0603_1608Metric,C15849,2
1uF,"C12,C3",C_0402_1005Metric,C52923,2
27,"R1,R2",R_0402_1005Metric,C25156,2
33pF,"C15,C16",C_0402_1005Metric,C1562,2
5.1K,"R3,R4",R_0402_1005Metric,C25905,2
RP2040,U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040,1
RT9013-33GB,U2,SOT-23-5_HandSoldering,C47773,1
USB_C_Receptacle_USB2.0_14P,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,1
W25Q128JVSIQ,U3,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,C2986331,1
X322512MSB4SI,X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,C9002,1
~,"SW10,SW11,SW12,SW13,SW14,SW15,SW16,SW17,SW18,SW19,SW2,SW20,SW21,SW22,SW23,SW24,SW25,SW26,SW27,SW28,SW29,SW3,SW30,SW31,SW32,SW33,SW34,SW35,SW36,SW37,SW38,SW39,SW4,SW40,SW41,SW42,SW43,SW44,SW45,SW46,SW47,SW48,SW49,SW5,SW50,SW51,SW52,SW53,SW54,SW55,SW56,SW57,SW58,SW59,SW6,SW60,SW61,SW62,SW7,SW8,SW9",MXOnly-1U-Hotswap,C41430893,61
~,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D6,D63,D64,D65,D66,D67,D68,D7,D8,D9",D_SOD-123,C81598,61
~,TP2,TestPoint_Pad_D1.0mm,,1
~,TP1,TestPoint_Pad_D1.0mm,,1
SW_Push,SW1,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,,1
