Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0603_1608Metric,61.895,-100.6,90.0,top
C10,100nF,C_0402_1005Metric,57.2,-102.925,-90.0,top
C11,100nF,C_0402_1005Metric,56.275,-103.32,-90.0,top
C12,1uF,C_0402_1005Metric,59.395,-104.08,180.0,top
C13,100nF,C_0402_1005Metric,59.395,-105.075,180.0,top
C14,100nF,C_0402_1005Metric,57.5,-116.955,90.0,top
C15,33pF,C_0402_1005Metric,50.925,-117.225,90.0,top
C16,33pF,C_0402_1005Metric,53.595,-120.7,180.0,top
C17,100nF,C_0402_1005Metric,52.235,-102.305,180.0,top
C19,100nF,C_0402_1005Metric,55.325,-103.32,-90.0,top
C2,1uF,C_0603_1608Metric,68.425,-100.65,-90.0,top
C3,1uF,C_0402_1005Metric,51.875,-108.55,90.0,top
C4,100nF,C_0402_1005Metric,61.014411,-105.560589,-135.0,top
C5,100nF,C_0402_1005Metric,62.005,-107.725,180.0,top
C6,100nF,C_0402_1005Metric,61.715345,-106.244167,-135.0,top
C7,100nF,C_0402_1005Metric,56.525,-116.955,90.0,top
C8,100nF,C_0402_1005Metric,51.875,-111.125,-90.0,top
C9,100nF,C_0402_1005Metric,68.05,-112.875,135.0,top
D1,~,D_SOD-123,84.48125,-105.45,90.0,bottom
D10,~,D_SOD-123,255.93125,-105.45,90.0,bottom
D11,~,D_SOD-123,274.98125,-105.45,90.0,bottom
D12,~,D_SOD-123,294.03125,-105.45,90.0,bottom
D13,~,D_SOD-123,313.08125,-105.45,90.0,bottom
D14,~,D_SOD-123,89.24375,-124.5,90.0,bottom
D15,~,D_SOD-123,113.05625,-124.5,90.0,bottom
D16,~,D_SOD-123,132.10625,-124.5,90.0,bottom
D17,~,D_SOD-123,151.15625,-124.5,90.0,bottom
D18,~,D_SOD-123,170.20625,-124.5,90.0,bottom
D19,~,D_SOD-123,189.25625,-124.5,90.0,bottom
D2,~,D_SOD-123,103.53125,-105.45,90.0,bottom
D20,~,D_SOD-123,208.30625,-124.5,90.0,bottom
D21,~,D_SOD-123,227.35625,-124.5,90.0,bottom
D22,~,D_SOD-123,246.40625,-124.5,90.0,bottom
D23,~,D_SOD-123,265.45625,-124.5,90.0,bottom
D24,~,D_SOD-123,284.50625,-124.5,90.0,bottom
D25,~,D_SOD-123,303.55625,-124.5,90.0,bottom
D26,~,D_SOD-123,322.60625,-124.5,90.0,bottom
D27,~,D_SOD-123,91.625,-143.55,90.0,bottom
D28,~,D_SOD-123,96.3875,-162.6,90.0,bottom
D29,~,D_SOD-123,117.81875,-143.55,90.0,bottom
D3,~,D_SOD-123,122.58125,-105.45,90.0,bottom
D31,~,D_SOD-123,136.86875,-143.55,90.0,bottom
D32,~,D_SOD-123,127.34375,-162.6,90.0,bottom
D33,~,D_SOD-123,155.91875,-143.55,90.0,bottom
D34,~,D_SOD-123,146.39375,-162.6,90.0,bottom
D35,~,D_SOD-123,174.96875,-143.55,90.0,bottom
D36,~,D_SOD-123,165.44375,-162.6,90.0,bottom
D37,~,D_SOD-123,194.01875,-143.55,90.0,bottom
D38,~,D_SOD-123,184.49375,-162.6,90.0,bottom
D39,~,D_SOD-123,213.06875,-143.55,90.0,bottom
D4,~,D_SOD-123,141.63125,-105.45,90.0,bottom
D40,~,D_SOD-123,203.54375,-162.6,90.0,bottom
D41,~,D_SOD-123,232.11875,-143.55,90.0,bottom
